X,Y,Z,X_size,Y_size,Z_size,Density,Rock_code,Ore_per,Au_grade,Block_ton,Au_mass
2516560,5822220,6640,40,40,40,0.0769,51,98.87,0.0001,2068.54848,0
2516560,5822220,6680,40,40,40,0.0769,51,100,0.0008,21.16288,0
2516600,5822100,6600,40,40,40,0.0769,51,100,0.0001,605.84896,0
2516600,5822140,6600,40,40,40,0.0769,51,97.42,0.0001,1252.05504,0
2516600,5822180,6600,40,40,40,0.0769,51,0,0.0001,2243.75744,0
2516600,5822180,6640,40,40,40,0.0769,51,95.82,0.0001,7.87456,0
2516600,5822220,6640,40,40,40,0.0769,51,84.62,0.0009,54.62976,0
2516640,5822220,6600,40,40,40,0.0769,51,0,0.0003,6.89024,0
2516520,5822260,6680,40,40,40,0.0769,51,100,0.0008,3228.5696,0
2516520,5822260,6720,40,40,40,0.076,0,100,0,482.9952,0
2516520,5822300,6680,40,40,40,0.0769,51,100,0.0012,4375.3024,0
2516520,5822300,6720,40,40,40,0.076,0,100,0,816.1792,0
2516520,5822340,6680,40,40,40,0.0769,51,100,0.0008,4917.66272,0
2516520,5822340,6720,40,40,40,0.076,0,100,0,1192.1664,0
2516520,5822380,6680,40,40,40,0.0769,51,100,0.0008,4921.6,0
2516520,5822380,6720,40,40,40,0.076,0,100,0,1292.8512,0
2516560,5822260,6640,40,40,40,0.0769,51,100,0.0008,3888.55616,0
2516560,5822260,6680,40,40,40,0.0769,51,100,0.001,144.69504,0
2516560,5822300,6640,40,40,40,0.0769,51,100,0.0009,4473.24224,0
2516560,5822300,6680,40,40,40,0.0769,51,100,0.0009,320.88832,0
2516560,5822340,6680,40,40,40,0.0769,51,100,0.0009,1316.03584,0
2516560,5822340,6720,40,40,40,0.0556,92,100,0.0007,10.31936,0
2516560,5822380,6680,40,40,40,0.0769,51,100,0.0009,2686.20928,0
2516560,5822380,6720,40,40,40,0.0556,92,100,0.0007,141.26848,0
2516600,5822260,6640,40,40,40,0.0769,51,95.23,0.001,157.4912,0
2516600,5822300,6640,40,40,40,0.0769,51,99.87,0.0011,463.61472,0
2516600,5822340,6640,40,40,40,0.0769,51,100,0.0011,1896.78464,0
2516600,5822340,6680,40,40,40,0.0769,51,100,0.001,7.87456,0
2516600,5822380,6640,40,40,40,0.0769,51,100,0.0013,3058.7744,0
2516600,5822380,6680,40,40,40,0.0769,51,100,0.0013,62.99648,0
2516640,5822260,6600,40,40,40,0.0769,51,0,0.0003,62.99648,0
2516640,5822300,6600,40,40,40,0.0769,51,0,0.0004,1305.70048,0
2516640,5822300,6640,40,40,40,0.0769,51,98.03,0.0012,3.44512,0
2516640,5822340,6600,40,40,40,0.0769,51,0,0.0004,3221.67936,0
2516640,5822340,6640,40,40,40,0.0769,51,100,0.0012,27.0688,0
2516640,5822380,6640,40,40,40,0.0769,51,100,0.0014,58.56704,0
2516520,5822420,6720,40,40,40,0.076,0,100,0,1324.4672,0
2516520,5822460,6720,40,40,40,0.076,0,100,0,1295.7696,0
2516520,5822500,6720,40,40,40,0.0556,92,100,0.0007,922.33728,0
2516520,5822540,6720,40,40,40,0.0556,92,100,0.0007,977.13664,0
2516560,5822420,6680,40,40,40,0.0769,51,100,0.0012,4134.63616,0
2516560,5822420,6720,40,40,40,0.0556,92,100,0.0007,302.10816,0
2516560,5822460,6680,40,40,40,0.0769,51,100,0.0013,4314.27456,0
2516560,5822460,6720,40,40,40,0.0556,92,100,0.0017,350.85824,0
2516560,5822500,6680,40,40,40,0.0769,51,100,0.0016,4143.9872,0
2516560,5822500,6720,40,40,40,0.0556,92,100,0.0007,339.8272,0
2516560,5822540,6680,40,40,40,0.0769,51,100,0.0005,3855.08928,0
